Title,Author,Category
The White Company,Arthur Conan Doyle,History - Medieval/The Middle Ages
Prayers of the Middle Ages: Light from a Thousand Years,Unregistered,History - Medieval/The Middle Ages
The Travels of Marco Polo — Volume 2,Marco Polo and da Pisa Rusticiano,History - Medieval/The Middle Ages
The Song of Roland,Unregistered,History - Medieval/The Middle Ages
French Mediaeval Romances from the Lays of Marie de France,active 12th century de France Marie,History - Medieval/The Middle Ages
William of Malmesbury's Chronicle of the Kings of England,of Malmesbury William,History - Medieval/The Middle Ages
"Tales of King Arthur and the Round Table, Adapted from the Book of Romance",Unregistered,History - Medieval/The Middle Ages
The Itinerary of Benjamin of Tudela,active 12th century of Tudela Benjamin,History - Medieval/The Middle Ages
Arden of Feversham,Unregistered,History - Medieval/The Middle Ages
Le Morte Darthur,Sir Thomas Malory,History - Medieval/The Middle Ages
The Orkneyinga Saga,Anonymous,History - Medieval/The Middle Ages
La Divina Commedia di Dante (Italian),Dante Alighieri,History - Medieval/The Middle Ages
Caxton's Book of Curtesye,Unregistered,History - Medieval/The Middle Ages
"Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period",P. L. Jacob,History - Medieval/The Middle Ages
The Confessions of St. Augustine,Bishop of Hippo Saint Augustine,History - Religious
The First Book of Adam and Eve,Rutherford Hayes Platt,History - Religious
The King James Version of the Bible,Unregistered,History - Religious
Antiquities of the Jews,Flavius Josephus,History - Religious
"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",Flavius Josephus,History - Religious
"The City of God, Volume I",Bishop of Hippo Saint Augustine,History - Religious
Fox's Book of Martyrs,John Foxe,History - Religious
The Imitation of Christ,à Kempis Thomas,History - Religious
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",Antonio Pigafetta,History - Religious
A Brief Account of the Destruction of the Indies,Bartolomé de las Casas,History - Religious
The Bacchae of Euripides,Euripides,History - Religious
"The World's Sixteen Crucified Saviors; Or, Christianity Before Christ",Kersey Graves,History - Religious
The Apostolic Tradition of Hippolytus,Antipope Hippolytus,History - Religious
On the Duties of the Clergy,Bishop of Milan Saint Ambrose,History - Religious
The Everlasting Man,G. K. Chesterton,History - Religious
The Elder Eddas of Saemund Sigfusson; and the Younger Eddas of Snorre Sturleson,Snorri Sturluson and Sæmundur fróði,History - Religious
"The Philippine Islands, 1493-1898 - Volume 40 of 55, 1690-1691",Unregistered,History - Religious
"The Philippine Islands, 1493-1803 — Volume 05 of 55",Unregistered,History - Religious
Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.,Martin Luther,History - Religious
A Harmony of the Gospels for Students of the Life of Christ,A. T. Robertson and John Albert Broadus,History - Religious
"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume XIV, South Carolina Narratives, Part 1",United States. Work Projects Administration,History - Religious
"The Philippine Islands, 1493-1803 — Volume 03 of 55",Unregistered,History - Religious
The Age of the Reformation,Preserved Smith,History - Religious
Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,Martin Luther,History - Religious
The Homilies of the Anglo-Saxon Church,Abbot of Eynsham Aelfric,History - Religious
"Napoleon's Letters to Josephine, 1796-1812",Emperor of the French Napoleon I,History - Royalty
Memoirs of Louis XIV and His Court and of the Regency — Complete,duc de Louis de Rouvroy Saint-Simon,History - Royalty
"The Letters of Queen Victoria : A Selection from Her Majesty's Correspondence between the Years 1837 and 1861. Volume 1, 1837-1843",Queen of Great Britain Victoria,History - Royalty
"Memoirs of the Court of Marie Antoinette, Queen of France, Complete",Mme. Campan,History - Royalty
The Noble and Gentle Men of England,Evelyn Philip Shirley,History - Royalty
The Love Letters of Henry VIII to Anne Boleyn; With Notes,King of England Henry VIII,History - Royalty
"Mary Queen of Scots, 1542-1587",Unregistered,History - Royalty
The Bābur-nāma in English (Memoirs of Bābur),Emperor of Hindustan Babur,History - Royalty
Memoirs of the Empress Catherine II.,Empress of Russia Catherine II,History - Royalty
"Elizabeth, Empress of Austria and Queen of Hungary",Carl Küchler,History - Royalty
"A Queen of Tears, vol. 1 of 2",W. H. Wilkins,History - Royalty
Memoirs of the Court of Louis XIV. and of the Regency — Complete,duchesse d' Charlotte-Elisabeth Orléans,History - Royalty
"History of the Royal Regiment of Artillery, Vol. 1",Francis Duncan,History - Royalty
History of Friedrich II of Prussia — Volume 01,Thomas Carlyle,History - Royalty
The Life of King Edward VII,J. Castell Hopkins,History - Royalty
The Life of Cardinal Wolsey,George Cavendish,History - Royalty
"Memoirs of Marguerite de Valois, Queen of Navarre — Complete",King of France consort of Henry IV Queen Marguerite,History - Royalty
"The Letters of Queen Victoria : A Selection from her Majesty's correspondence between the years 1837 and 1861. Volume 2, 1844-1853",Queen of Great Britain Victoria,History - Royalty
Memoirs of the Courts of Louis XV and XVI. — Complete,Mme. Du Hausset and princesse de Marie Thérèse Louise de Savoie-Carignan Lamballe,History - Royalty
Memoirs of Madame la Marquise de Montespan — Complete,Madame de Montespan,History - Royalty
"History of the Royal Sappers and Miners, Volume 1 (of 2)",T. W. J. Connolly,History - Royalty
"The Letters of Queen Victoria : A Selection from Her Majesty's Correspondence between the Years 1837 and 1861. Volume 3, 1854-1861",Queen of Great Britain Victoria,History - Royalty
The Law-Breakers,Ridgwell Cullum,History - Royalty
Marie Antoinette and the Downfall of Royalty,Imbert de Saint-Amand,History - Royalty
The Life of Napoleon Bonaparte. Vol. 4 (of 4),William Milligan Sloane,History - Royalty
The Idea of a University Defined and Illustrated,John Henry Newman,History - Schools & Universities
West Point,Robert C. Richardson,History - Schools & Universities
"The Thirteenth, Greatest of Centuries",James J. Walsh,History - Schools & Universities
The Rise of Universities,Charles Homer Haskins,History - Schools & Universities
The School System of Norway,David Allen Anderson,History - Schools & Universities
Autobiography of Andrew Dickson White — Volume 1,Andrew Dickson White,History - Schools & Universities
Schools of to-morrow,John Dewey and Evelyn Dewey,History - Schools & Universities
Autobiography of Andrew Dickson White — Volume 2,Andrew Dickson White,History - Schools & Universities
The Adventures of Mr. Verdant Green,Cuthbert Bede,History - Schools & Universities
The 1926 Tatler,Unregistered,History - Schools & Universities
Life in the Medieval University,Robert S. Rait,History - Schools & Universities
Oxford,Andrew Lang,History - Schools & Universities
The Story of Chautauqua,Jesse Lyman Hurlbut,History - Schools & Universities
A Williams Anthology,Unregistered,History - Schools & Universities
The History of Pedagogy,Gabriel Compayré,History - Schools & Universities
"A History of Giggleswick School from its Foundation, 1499 to 1912",Edward Allen Bell,History - Schools & Universities
Advice to a Young Man upon First Going to Oxford,Edward Berens,History - Schools & Universities
Psychologie de l'éducation (French),Gustave Le Bon,History - Schools & Universities
The Oxford Degree Ceremony,J. Wells,History - Schools & Universities
"McGill and its Story, 1821-1921",Cyrus MacMillan,History - Schools & Universities
Oxford and Her Colleges: A View from the Radcliffe Library,Goldwin Smith,History - Schools & Universities
The Book of Trinity College Dublin 1591-1891,Ireland) Trinity College (Dublin,History - Schools & Universities
Essays on Educational Reformers,Robert Hebert Quick,History - Schools & Universities
College Teaching,Paul Klapper,History - Schools & Universities
Begriff der Arbeitsschule (German),Georg Kerschensteiner,History - Schools & Universities
War and Peace,graf Leo Tolstoy,History - Warfare
The War of the Worlds,H. G. Wells,History - Warfare
The Art of War,active 6th century B.C. Sunzi,History - Warfare
On War,Carl von Clausewitz,History - Warfare
Simple Sabotage Field Manual,United States. Office of Strategic Services,History - Warfare
The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,History - Warfare
The Anabasis of Alexander,Arrian,History - Warfare
"In Flanders Fields, and Other Poems",John McCrae,History - Warfare
Julius Caesar,William Shakespeare,History - Warfare
"Personal Memoirs of U. S. Grant, Complete",Ulysses S. Grant,History - Warfare
The Declaration of Independence of the United States of America,Thomas Jefferson,History - Warfare
The Art of War,active 6th century B.C. Sunzi,History - Warfare
"The Influence of Sea Power Upon History, 1660-1783",A. T. Mahan,History - Warfare
The Sailor's Word-Book,W. H. Smyth,History - Warfare
Second Variety,Philip K. Dick,History - Warfare
Marmion: A Tale Of Flodden Field,Walter Scott,History - Warfare
A Military Dictionary and Gazetteer,Thomas Wilhelm,History - Warfare
Memoirs of General William T. Sherman — Complete,William T. Sherman,History - Warfare
The Great Illusion,Norman Angell,History - Warfare
Clerambault :  Histoire d'une conscience libre pendant la guerre (French),Romain Rolland,History - Warfare
The Art of War,baron de Antoine Henri Jomini,History - Warfare
"In Stahlgewittern, aus dem Tagebuch eines Stoßtruppführers (German)",Ernst Jünger,History - Warfare
Lectures pour une ombre (French),Jean Giraudoux,History - Warfare
"The Papers and Writings of Abraham Lincoln, Complete",Abraham Lincoln,History - Warfare
Across the Reef: The Marine Assault of Tarawa,Joseph H. Alexander,History - Warfare
"The Ladies' Book of Etiquette, and Manual of Politeness",Florence Hartley,How To...
"Shelters, Shacks and Shanties",Daniel Carter Beard,How To...
The Boy's Voice,J. Spencer Curwen,How To...
How to Live on 24 Hours a Day,Arnold Bennett,How To...
The Book of Household Management,Mrs. Beeton,How To...
"The Boy Mechanic, Book 2: 1000 Things for Boys to Do",Unregistered,How To...
"How to Listen to Music, 7th ed.",Henry Edward Krehbiel,How To...
Textiles and Clothing,Kate Heintz Watson,How To...
How to sing [Meine Gesangskunst],Lilli Lehmann,How To...
"Self-Instructor in the Art of Hair Work, Dressing Hair, Making Curls, Switches, Braids, and Hair Jewelry of Every Description.",active 19th century Mark Campbell,How To...
Needlework Economies: A Book of Mending and Making with Oddments and Scraps,Unregistered,How To...
"Knots, Splices and Rope Work",A. Hyatt Verrill,How To...
How to Succeed as an Inventor,Goodwin Brooke Smith,How To...
"The Boy Mechanic, Volume 1: 700 Things for Boys to Do",Unregistered,How To...
Beeton's Book of Needlework,Mrs. Beeton,How To...
Handbook on Japanning: 2nd Edition,William Norman Brown,How To...
How to Do Mechanical Tricks,active 1894-1902 A. Anderson,How To...
More Conjuring: Simple Tricks for Social Gatherings,Hercat,How To...
How to become a lightning calculator,Anonymous,How To...
How to Live on 24 Hours a Day,Arnold Bennett,How To...
Handbook of Wool Knitting and Crochet,Anonymous,How To...
Educational Toys,Louis Christian Petersen,How To...
"Mission Furniture: How to Make It, Part 1",H. H. Windsor,How To...
Things To Make,Archibald Williams,How To...
"Woodwork Joints: How They Are Set Out, How Made and Where Used.",William Fairham,How To...
A Room with a View,E. M. Forster,Humour
"History of Tom Jones, a Foundling",Henry Fielding,Humour
Adventures of Huckleberry Finn,Mark Twain,Humour
A Modest Proposal,Jonathan Swift,Humour
"The Adventures of Tom Sawyer, Complete",Mark Twain,Humour
Emma,Jane Austen,Humour
The Eyes Have It,Philip K. Dick,Humour
Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,Humour
The Devil's Dictionary,Ambrose Bierce,Humour
The Pickwick Papers,Charles Dickens,Humour
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",Oliver Goldsmith,Humour
"The Mysterious Stranger, and Other Stories",Mark Twain,Humour
The Wind in the Willows,Kenneth Grahame,Humour
Gulliver's Travels into Several Remote Regions of the World,Jonathan Swift,Humour
The Wind in the Willows,Kenneth Grahame,Humour
"Volpone; Or, The Fox",Ben Jonson,Humour
"Candide, ou l'optimisme (French)",Voltaire,Humour
The Best American Humorous Short Stories,Unregistered,Humour
The Gilded Age: A Tale of Today,Mark Twain and Charles Dudley Warner,Humour
"Eve's Diary, Complete",Mark Twain,Humour
"Tartuffe; Or, The Hypocrite",Molière,Humour
The Imaginary Invalid,Molière,Humour
Laughter: An Essay on the Meaning of the Comic,Henri Bergson,Humour
Ghost Stories of an Antiquary,M. R. James,Humour
A Tramp Abroad,Mark Twain,Humour
"The Stars and Stripes, Vol. 1, No. 1, February 8, 1918",United States. Army. American Expeditionary Forces,Journalism/Media/Writing
The Sacred Wood: Essays on Poetry and Criticism,T. S. Eliot,Journalism/Media/Writing
Types of News Writing,Willard Grosvenor Bleyer,Journalism/Media/Writing
"The American Missionary — Volume 50, No. 03, March, 1896",Various,Journalism/Media/Writing
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 375, June 13, 1829",Various,Journalism/Media/Writing
Reviews,Oscar Wilde,Journalism/Media/Writing
"Punchinello, Volume 1, No. 09, May 28, 1870",Various,Journalism/Media/Writing
How To Write Special Feature Articles,Willard Grosvenor Bleyer,Journalism/Media/Writing
Speeches: Literary and Social,Charles Dickens,Journalism/Media/Writing
"The Bad Boy at Home, and His Experiences in Trying to Become an Editor",Metta Victoria Fuller Victor,Journalism/Media/Writing
"Punch, or the London Charivari, Volume 1, September 5, 1841",Various,Journalism/Media/Writing
Essays in the Art of Writing,Robert Louis Stevenson,Journalism/Media/Writing
"The Atlantic Monthly, Volume 17, No. 101, March, 1866",Various,Journalism/Media/Writing
"Punchinello, Volume 2, No. 35, November 26, 1870",Various,Journalism/Media/Writing
"Punch, or the London Charivari, Vol. 146, April 29, 1914",Various,Journalism/Media/Writing
"Notes and Queries, Number 211, November 12, 1853",Various,Journalism/Media/Writing
"The History of ""Punch""",M. H. Spielmann,Journalism/Media/Writing
"Punch, or the London Charivari, Volume 156, March 5, 1919",Various,Journalism/Media/Writing
"Notes and Queries, Number 219, January 7, 1854",Various,Journalism/Media/Writing
"The Mirror of Literature, Amusement, and Instruction. Volume 17, No. 473, January 29, 1831",Various,Journalism/Media/Writing
"Punchinello, Volume 2, No. 39, December 24, 1870.",Various,Journalism/Media/Writing
If You Don't Write Fiction,Charles Phelps Cushing,Journalism/Media/Writing
"Punch, or the London Charivari, Vol. 147, September 2nd, 1914",Various,Journalism/Media/Writing
"Prairie Farmer, Vol. 56: No. 1, January 5, 1884.",Various,Journalism/Media/Writing
"Prejudices, second series",H. L. Mencken,Journalism/Media/Writing
"Journals of Dorothy Wordsworth, Vol. 1 (of 2)",Dorothy Wordsworth,Journals
"Prairie Farmer, Vol. 56: No. 4, January 26, 1884",Various,Journals
"Punch, or the London Charivari, Vol. 147, July 15, 1914",Various,Journals
The Journal of a Disappointed Man,W. N. P. Barbellion,Journals
"Journal 02, 1850-September 15, 1851",Henry David Thoreau,Journals
"Punch, or the London Charivari, Volume 158, June 2, 1920",Various,Journals
"Punch, or the London Charivari, Vol. 150, June 21st, 1916",Various,Journals
"The American Missionary — Volume 37, No. 4, April, 1883",Various,Journals
"Punch or the London Charivari, Vol. 147, July 8, 1914",Various,Journals
"Punchinello, Volume 2, No. 29, October 15, 1870",Various,Journals
Journaux intimes (French),Charles Baudelaire,Journals
"Punch, or the London Charivari, Volume 100, April 25, 1891",Various,Journals
"Mother Earth, Vol. 1 No. 1, March 1906",Various,Journals
"Punch, or the London Charivari, Vol. 158, 1920-05-12",Various,Journals
"Journal de Eugène Delacroix, Tome 1 (de 3)
 (French)",Eugène Delacroix,Journals
"Punchinello, Volume 1, No. 01, April 2, 1870",Various,Journals
"Graham's Magazine, Vol. XXXV, No. 1, July 1849",Various,Journals
"Punch, or the London Charivari, Volume 103, October 15, 1892",Various,Journals
"The Mirror of Taste, and Dramatic Censor, Vol. I, No. 1, January 1810",Unregistered,Journals
Miscellanies,Oscar Wilde,Journals
"The Mayflower, January, 1905",Various,Journals
"The Little Review, October 1914 (Vol. 1, No. 7)",Various,Journals
"The Book Review Digest, Volume 13, 1917",Various,Journals
"Early American Plays, 1714-1830",Oscar Wegelin,Journals
"Punchinello, Volume 1, No. 10, June 4, 1870",Various,Journals
Novo dicionário da língua portuguesa (Portuguese),Cândido de Figueiredo,Language & Communication
Æsop's Fables: A Version for Young Readers,Aesop and J. H. Stickney,Language & Communication
Essays of Michel de Montaigne — Complete,Michel de Montaigne,Language & Communication
Tractatus Logico-Philosophicus (German),Ludwig Wittgenstein,Language & Communication
The Elements of Style,William Strunk,Language & Communication
Moby Word Lists,Grady Ward,Language & Communication
"Doctrina Christiana
 (Spanish) (Tagalog)",Unregistered,Language & Communication
Helps to Latin Translation at Sight,Edmund Luce,Language & Communication
Chambers's Twentieth Century Dictionary (part 1 of 4: A-D),Unregistered,Language & Communication
A Concise Dictionary of Middle English from A.D. 1150 to 1580,Walter W. Skeat and A. L. Mayhew,Language & Communication
Roget's Thesaurus of English Words and Phrases,Peter Mark Roget,Language & Communication
Spanish Tales for Beginners (Spanish),Unregistered,Language & Communication
A Dictionary of Cebuano Visayan,John U. Wolff,Language & Communication
On the Sublime,active 1st century Longinus,Language & Communication
"Diccionario Ingles-Español-Tagalog
 (Spanish) (Tagalog)",Sofronio G. Calderón,Language & Communication
1811 Dictionary of the Vulgar Tongue,Francis Grose,Language & Communication
Fifteen Thousand Useful Phrases,Grenville Kleiser,Language & Communication
"Proverbes sur les femmes, l'amitié, l'amour et le mariage (French)",P.-M. Quitard,Language & Communication
A Concise Anglo-Saxon Dictionary,J. R. Clark Hall,Language & Communication
"The Bet, and other stories",Anton Pavlovich Chekhov,Language & Communication
The Art of Public Speaking,Dale Carnegie and J. Berg Esenwein,Language & Communication
"The slang dictionary :  Etymological, historical and anecdotal",John Camden Hotten,Language & Communication
A First Spanish Reader (Spanish),Erwin W. Roessler and Alfred Remy,Language & Communication
Latin for Beginners,Benjamin L. D'Ooge,Language & Communication
The Post Office,Rabindranath Tagore,Language & Communication
The Federalist Papers,"Alexander Hamilton, James Madison, and John Jay",Law & Criminology
Areopagitica,John Milton,Law & Criminology
The Common Law,Oliver Wendell Holmes,Law & Criminology
The Institutes of Justinian,Unregistered,Law & Criminology
The United States Constitution,United States,Law & Criminology
The Principles of Masonic Law,Albert Gallatin Mackey,Law & Criminology
The Oldest Code of Laws in the World,King of Babylonia Hammurabi,Law & Criminology
A collection of Latin maxims and phrases literally translated,John N. Cotterell,Law & Criminology
"Commentaries on the Laws of England, Book the First",Sir William Blackstone,Law & Criminology
The United States Bill of Rights,United States,Law & Criminology
The Criminal Prosecution and Capital Punishment of Animals,E. P. Evans,Law & Criminology
"Criminal Psychology: A Manual for Judges, Practitioners, and Students",Hans Gross,Law & Criminology
The Art of Cross-Examination,Francis L. Wellman,Law & Criminology
The Magna Carta,Anonymous,Law & Criminology
The Law,Frédéric Bastiat,Law & Criminology
"Criminal Man, According to the Classification of Cesare Lombroso",Gina Lombroso,Law & Criminology
Esprit des lois (French),baron de Charles de Secondat Montesquieu,Law & Criminology
"A collection of Latin maxims & rules, in law and equity :  selected from the most eminent authors, on the civil, canon, feudal, English and Scots law, with an English translation, and an appendix of reference to the authorities from which the maxims are selected",Peter Halkerston,Law & Criminology
Jurisprudence,Sir John W. Salmond,Law & Criminology
"The Trial of Oscar Wilde, from the Shorthand Reports",Charles Grolleau,Law & Criminology
International Law. A Treatise. Volume 1 (of 2),L. Oppenheim,Law & Criminology
The Declaration of Independence of The United States of America,Thomas Jefferson,Law & Criminology
Plans and Illustrations of Prisons and Reformatories,Unregistered,Law & Criminology
Judgments of the Court of Appeal of New Zealand on Proceedings to Review Aspects of the Report of the Royal Commission of Inquiry into the Mount Erebus Aircraft Disaster,New Zealand. Court of Appeal,Law & Criminology
A Book About Lawyers,John Cordy Jeaffreson,Law & Criminology
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Literature
"Moby Dick; Or, The Whale",Herman Melville,Literature
Romeo and Juliet,William Shakespeare,Literature
Pride and Prejudice,Jane Austen,Literature
The Scarlet Letter,Nathaniel Hawthorne,Literature
The Complete Works of William Shakespeare,William Shakespeare,Literature
Middlemarch,George Eliot,Literature
A Room with a View,E. M. Forster,Literature
"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,Literature
A Doll's House : a play,Henrik Ibsen,Literature
The Blue Castle: a novel,L. M. Montgomery,Literature
The Enchanted April,Elizabeth Von Arnim,Literature
The Adventures of Ferdinand Count Fathom — Complete,T. Smollett,Literature
Cranford,Elizabeth Cleghorn Gaskell,Literature
The Expedition of Humphry Clinker,T. Smollett,Literature
"History of Tom Jones, a Foundling",Henry Fielding,Literature
The Great Gatsby,F. Scott Fitzgerald,Literature
The Adventures of Roderick Random,T. Smollett,Literature
Twenty years after,Alexandre Dumas and Auguste Maquet,Literature
The Picture of Dorian Gray,Oscar Wilde,Literature
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,Literature
Dracula,Bram Stoker,Literature
The Legend of Sleepy Hollow,Washington Irving,Literature
Metamorphosis,Franz Kafka,Literature
Adventures of Huckleberry Finn,Mark Twain,Literature
Calculus Made Easy,Silvanus P. Thompson,Mathematics
Tractatus Logico-Philosophicus (German),Ludwig Wittgenstein,Mathematics
1001 задача для умственного счета (Russian),Sergei Aleksandrovich Rachinskii,Mathematics
A Course of Pure Mathematics,G. H. Hardy,Mathematics
Philosophiae Naturalis Principia Mathematica (Latin),Isaac Newton,Mathematics
Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,Mathematics
The First Six Books of the Elements of Euclid,John Casey and Euclid,Mathematics
The Earliest Arithmetics in English,Unregistered,Mathematics
An Investigation of the Laws of Thought,George Boole,Mathematics
An Introduction to Mathematics,Alfred North Whitehead,Mathematics
Amusements in Mathematics,Henry Ernest Dudeney,Mathematics
First Course in the Theory of Equations,Leonard E. Dickson,Mathematics
Mathematical Recreations and Essays,W. W. Rouse Ball,Mathematics
A Tangled Tale,Lewis Carroll,Mathematics
Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,Mathematics
The Foundations of Geometry,David Hilbert,Mathematics
Philosophy and Fun of Algebra,Mary Everest Boole,Mathematics
The Mathematical Analysis of Logic,George Boole,Mathematics
Science and hypothesis,Henri Poincaré,Mathematics
Space—Time—Matter,Hermann Weyl,Mathematics
A Treatise on Probability,John Maynard Keynes,Mathematics
Passages from the Life of a Philosopher,Charles Babbage,Mathematics
The Mathematical Theory of Relativity,Sir Arthur Stanley Eddington,Mathematics
Plane Geometry,G. A. Wentworth,Mathematics
La géométrie (French),René Descartes,Mathematics
My Life — Volume 1,Richard Wagner,Music
The Beggar's Opera; to Which is Prefixed the Musick to Each Song,John Gay,Music
The Boy's Voice,J. Spencer Curwen,Music
"Principles of Orchestration, with Musical Examples Drawn from His Own Works",Nikolay Rimsky-Korsakov,Music
The Letters of Wolfgang Amadeus Mozart — Volume 01,Wolfgang Amadeus Mozart,Music
"Beethoven's Letters 1790-1826, Volume 1",Ludwig van Beethoven,Music
The Liberty Minstrel,George Washington Clark,Music
"Cowboy Songs, and Other Frontier Ballads",Various,Music
Critical and Historical Essays,Edward MacDowell,Music
"How to Listen to Music, 7th ed.",Henry Edward Krehbiel,Music
How to sing [Meine Gesangskunst],Lilli Lehmann,Music
A Complete History of Music,W. J. Baltzell,Music
The Complete Plays of Gilbert and Sullivan,W. S. Gilbert and Arthur Sullivan,Music
"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.",Friedrich Wilhelm Nietzsche,Music
The Romantic Composers,Daniel Gregory Mason,Music
Style in Singing,W. E. Haslam,Music
Music and Some Highly Musical People,James M. Trotter,Music
"The Shanty Book, Part I, Sailor Shanties",Unregistered,Music
The Rhinegold & The Valkyrie,Richard Wagner,Music
The Modes of Ancient Greek Music,D. B. Monro,Music
Beethoven : The story of a little boy who was forced to practice,Thomas Tapper,Music
Life of Chopin,Franz Liszt,Music
"Music-Study in Germany, from the Home Correspondence of Amy Fay",Amy Fay,Music
Dramatized Rhythm Plays,John N. Richards,Music
Hänsel and Gretel: A Fairy Opera in Three Acts,Adelheid Wette and Engelbert Humperdinck,Music
The call of the wild,Jack London,Nature/Gardening/Animals
Nature,Ralph Waldo Emerson,Nature/Gardening/Animals
Daddy Takes Us to the Garden,Howard Roger Garis,Nature/Gardening/Animals
Language of Flowers,Kate Greenaway,Nature/Gardening/Animals
Zimmerblattpflanzen (German),Udo Dammer,Nature/Gardening/Animals
Walking,Henry David Thoreau,Nature/Gardening/Animals
The language of flowers :  The floral offering ; a token of affection and esteem ; comprising the language and poetry of flowers,Henrietta Dumont,Nature/Gardening/Animals
The Extermination of the American Bison,William T. Hornaday,Nature/Gardening/Animals
The Burgess Animal Book for Children,Thornton W. Burgess,Nature/Gardening/Animals
The Medicinal Plants of the Philippines,T. H. Pardo de Tavera,Nature/Gardening/Animals
A Treatyse of Fysshynge wyth an Angle,Juliana Berners,Nature/Gardening/Animals
"Mammals of Mesa Verde National Park, Colorado",Sydney Anderson,Nature/Gardening/Animals
The call of the wild,Jack London,Nature/Gardening/Animals
Walden,Henry David Thoreau,Nature/Gardening/Animals
Wild Animals I Have Known,Ernest Thompson Seton,Nature/Gardening/Animals
Everglades Wildguide,Jean Craighead George,Nature/Gardening/Animals
The Beaked Whales of the Family Ziphiidae,Frederick W. True,Nature/Gardening/Animals
"Argentine Ornithology, Volume 1 (of 2)",W. H. Hudson and Philip Lutley Sclater,Nature/Gardening/Animals
Some Constituents of the Poison Ivy Plant (Rhus Toxicodendron),William Anderson Syme,Nature/Gardening/Animals
Domestic Animals,Richard Lamb Allen,Nature/Gardening/Animals
The Life of the Spider,Jean-Henri Fabre,Nature/Gardening/Animals
The Burgess Bird Book for Children,Thornton W. Burgess,Nature/Gardening/Animals
"Birds, Illustrated by Color Photography, Vol. 1, No. 5",Various,Nature/Gardening/Animals
Bambi,Felix Salten,Nature/Gardening/Animals
"Plant Lore, Legends, and Lyrics",Richard Folkard,Nature/Gardening/Animals
The Complete Herbal,Nicholas Culpeper,Nutrition
The Fasting Cure,Upton Sinclair,Nutrition
"Letter on Corpulence, Addressed to the Public",William Banting,Nutrition
Science in the Kitchen,E. E. Kellogg,Nutrition
The Chemistry of Food and Nutrition,A. W. Duncan,Nutrition
The Care and Feeding of Children,L. Emmett Holt,Nutrition
Right Use of Lime in Soil Improvement,Alva Agee,Nutrition
Human Foods and Their Nutritive Value,Harry Snyder,Nutrition
"Encyclopedia of Diet: A Treatise on the Food Question, Vol. 1",Eugene Christian,Nutrition
A Vindication of Natural Diet.,Percy Bysshe Shelley,Nutrition
Food Remedies: Facts About Foods And Their Medicinal Uses,Florence Daniel,Nutrition
"Studies of American Fungi. Mushrooms, Edible, Poisonous, etc.",George Francis Atkinson,Nutrition
Margaret Mahaney Talks About Turkeys,Margaret Mahaney,Nutrition
"A Comprehensive Guide-Book to Natural, Hygienic and Humane Diet",Sidney Hartnoll Beard,Nutrition
The Starvation Treatment of Diabetes,Lewis Webb Hill and Rena Sarah Eckman,Nutrition
"Coffee and chicory :  Their culture, chemical composition, preparation for market, and consumption, with simple tests for detecting adulteration, and practical hints for the producer and consumer",P. L. Simmonds,Nutrition
"Fletcherism: What It Is; Or, How I Became Young at Sixty",Horace Fletcher,Nutrition
Civics and Health,William H. Allen,Nutrition
"Veien til Skjønhed, Sundhed og et Langt Liv (Norwegian)",Boyd Laynard,Nutrition
The grapes of New York,U. P. Hedrick,Nutrition
No Animal Food; and Nutrition and Diet; with Vegetable Recipes,Rupert H. Wheldon,Nutrition
Foods and Household Management: A Textbook of the Household Arts,Helen Kinne and Anna M. Cooley,Nutrition
How and When to Be Your Own Doctor,Steve Solomon and Isabel A. Moser,Nutrition
Madame Young's Guide to Health,Amelia Young,Nutrition
The Natural Food of Man,Hereward Carrington,Nutrition
Treatises on Friendship and Old Age,Marcus Tullius Cicero,Old Age & the Elderly
Cato Maior de Senectute with Introduction and Notes (Latin),Marcus Tullius Cicero,Old Age & the Elderly
A Grandpa's Notebook,Meyer Moldeven,Old Age & the Elderly
Looking toward sunset,Unregistered,Old Age & the Elderly
"Senescence, the Last Half of Life",G. Stanley Hall,Old Age & the Elderly
The Prolongation of Life: Optimistic Studies,Elie Metchnikoff,Old Age & the Elderly
"A vénülés elhárítása és az élet meghosszabbítása
 (Hungarian)",Arnold Lorand,Old Age & the Elderly
Discourses on a Sober and Temperate Life,Luigi Cornaro,Old Age & the Elderly
The Diary of a Man of Fifty,Henry James,Old Age & the Elderly
Finding youth :  A human experience,Gertrude Nelson Andrews,Old Age & the Elderly
